2200 4349
1 2822 2686
1 1291 3011
1 3571 1
0 1395 657
0 1288 3848
1 96 1970
1 4971 4291
0 2806 38
1 3592 2149
0 2272 2116
0 1072 376
0 572 2149
0 3169 2131
1 1641 1564
0 3235 3865
1 4505 341
1 605 2126
0 4747 3965
0 3180 4157
1 4856 3782
0 427 148
1 1034 2025
1 4147 3315
1 2468 3753
1 1320 3155
1 1262 918
0 1385 3419
0 3943 3801
1 1116 2002
1 3783 2966
1 2006 1074
0 903 3360
0 4468 515
0 1271 509
1 2708 378
0 1416 3968
0 3844 203
0 4961 2434
0 3924 2365
0 4326 1416
1 3436 2795
1 31 2528
0 4680 2764
0 1905 2011
1 1993 1106
1 882 656
0 373 1001
0 126 281
1 3535 2461
0 3780 3726
0 3419 3145
0 2880 1593
1 3195 730
1 4862 613
1 1702 4266
1 32 2162
1 2467 4279
1 389 1353
1 446 1169
0 2401 2107
1 2740 2785
0 2116 4275
0 4135 2331
1 3264 1088
0 2126 1784
0 723 81
0 4527 676
0 1029 3407
0 1541 2736
0 1338 299
0 1098 2590
1 1552 83
0 3138 3640
1 2832 3341
0 1593 1560
0 3709 3753
0 4119 2604
0 1842 3463
0 2004 2625
0 3139 2915
1 1731 3345
1 1198 3437
0 771 434
1 4996 4128
1 2383 1720
0 2336 2187
0 3535 3707
1 1150 1858
0 569 2707
0 2239 2707
1 1263 345
0 381 2026
1 1708 4053
0 2084 422
0 1123 556
1 3246 2251
1 3232 1968
0 4255 18
1 2342 171
1 1737 813
1 3779 2607
1 916 4156
0 3348 829
1 1916 1343
1 804 4325
1 252 2635
0 319 755
0 1477 1286
1 565 3707
0 940 1943
0 4387 3258
1 341 3026
0 1351 698
1 3189 692
1 2201 3152
0 2121 1461
0 3933 2156
0 227 4230
1 2151 2297
0 3922 2322
0 482 3753
0 3093 2586
0 3487 846
0 2019 2585
0 4829 4239
1 3039 2379
1 4893 3604
1 4976 1184
1 2542 4197
0 1283 4117
1 1584 1392
1 1279 3705
1 3579 1800
0 4535 1583
0 1062 4031
0 3965 423
1 1197 2454
0 1726 2544
1 2028 2344
1 370 1573
0 2693 2175
0 2029 3056
0 1424 3986
0 2227 583
0 1274 3330
0 2118 1967
0 3231 2666
0 2194 3599
1 3288 297
0 2311 3753
0 2241 3607
1 855 4337
0 300 3453
0 4062 2890
1 4161 157
1 3128 583
1 2649 2198
0 2618 4256
1 713 4320
0 3123 1873
0 1131 1396
0 2672 4279
1 375 1545
1 2818 4055
1 888 344
0 4294 3141
0 1056 184
1 4667 2988
1 4555 687
0 4101 699
0 2321 4234
1 3259 1147
1 1649 2826
1 2560 575
0 924 4037
0 1661 3131
1 3241 551
1 3894 3311
0 2166 2328
0 2696 2245
0 4145 3195
0 2403 450
0 1028 1966
0 318 3955
1 687 3864
1 1295 2941
1 269 1405
0 2961 2181
0 637 461
1 1713 1294
1 4310 1475
0 4560 3127
1 1486 1467
0 461 3115
0 655 3065
0 1603 2024
0 304 3860
0 1460 4043
1 1089 1940
1 2803 2585
0 1644 1964
0 2638 689
1 394 3892
1 208 2079
1 993 537
1 22 3666
0 3957 1185
1 4684 3434
0 2450 313
0 4420 2846
1 4641 1323
0 3610 2559
1 80 3747
1 80 2139
1 277 2053
0 1359 3003
0 970 3945
0 4380 1569
1 900 3134
1 2519 37
1 949 2998
0 1851 80
0 1138 3473
1 293 1958
1 4778 2272
1 2949 4222
1 58 770
0 1408 851
1 1161 4160
1 4054 317
1 2889 4224
1 2013 1540
0 4064 925
1 4435 2648
0 4684 90
0 805 3213
0 522 2273
1 1439 3166
1 945 992
0 136 412
0 4784 286
0 4529 1572
0 685 3207
0 3331 241
1 2546 3873
1 3607 3473
0 575 2043
1 1716 3892
1 465 1890
0 2721 3519
1 1002 481
1 2608 122
0 741 3614
0 2891 653
0 1646 2623
0 4487 3461
0 715 2313
1 4034 1038
1 4909 124
1 1794 109
0 96 945
1 4053 2870
1 679 3439
0 4037 3939
1 1265 3032
0 695 1172
0 4482 1207
1 1795 1788
1 1778 1367
1 4021 2027
0 1365 3451
0 887 2667
1 1173 518
1 2907 211
0 772 2713
0 2312 3198
1 3839 790
1 4573 1880
0 3935 2026
1 2387 3116
1 4003 336
1 4782 2500
0 3685 1396
0 2803 636
1 27 1600
1 2002 2198
1 920 1905
1 3845 3033
1 3460 2635
0 2377 1197
0 2388 3178
1 2238 824
1 3682 1718
1 1047 963
1 4721 2861
1 2322 1747
0 894 3504
0 1272 641
0 3897 4007
0 4602 1559
1 2409 399
0 2328 4342
1 4303 2643
1 4506 534
0 844 2572
1 1791 3137
0 3307 1440
1 1934 2620
1 892 4207
1 468 4242
1 3048 1855
0 2634 1731
1 1712 2383
0 3965 859
1 843 2505
1 3725 224
1 2316 926
0 1183 1803
0 1875 2265
1 2850 599
1 2838 2349
0 4225 2359
1 4248 1816
1 4293 3166
0 4054 2294
0 1898 2787
0 4204 2408
0 512 4294
0 2093 1117
0 548 867
1 1830 1481
1 643 3358
0 3371 2505
1 4315 1563
0 4334 1795
1 2919 1058
0 915 2852
1 276 4268
0 2936 4304
1 2490 2452
1 4406 3319
1 378 789
1 2097 577
0 4922 1809
1 2816 265
1 2974 3891
1 1824 4212
1 3979 2155
0 1028 248
